연번,대분류,항목명,중분류,코드,소분류,항목명,세분류,real항목,세세분류,항목
1,A,"농업, 임업 및 어업 (01 ~ 03)",1,농업,11,작물 재배업,111,곡물 및 기타 식량작물 재배업,1110,곡물 및 기타 식량작물 재배업
2,,,,,,,112,"채소, 화훼작물 및 종묘 재배업",1121,채소작물 재배업
3,,,,,,,,,1122,화훼작물 재배업
4,,,,,,,,,1123,종자 및 묘목 생산업
5,,,,,,,113,"과실, 음료용 및 향신용 작물 재배업",1131,과실작물 재배업
6,,,,,,,,,1132,음료용 및 향신용 작물 재배업
7,,,,,,,114,기타 작물 재배업,1140,기타 작물 재배업
8,,,,,,,115,시설작물 재배업,1151,콩나물 재배업
9,,,,,,,,,1152,"채소, 화훼 및 과실작물 시설 재배업"
10,,,,,,,,,1159,기타 시설작물 재배업
11,,,,,12,축산업,121,소 사육업,1211,젖소 사육업
12,,,,,,,,,1212,육우 사육업
13,,,,,,,122,양돈업,1220,양돈업
14,,,,,,,123,가금류 및 조류 사육업,1231,양계업
15,,,,,,,,,1239,기타 가금류 및 조류 사육업
16,,,,,,,129,기타 축산업,1291,말 및 양 사육업
17,,,,,,,,,1299,그외 기타 축산업
18,,,,,13,작물재배 및 축산 복합농업,130,작물재배 및 축산 복합농업,1300,작물재배 및 축산 복합농업
19,,,,,14,작물재배 및 축산 관련 서비스업,141,작물재배 관련 서비스업,1411,작물재배 지원 서비스업
20,,,,,,,,,1412,"농산물 건조, 선별 및 기타 수확후 서비스업"
21,,,,,,,142,축산 관련 서비스업,1420,축산 관련 서비스업
22,,,,,15,수렵 및 관련 서비스업,150,수렵 및 관련 서비스업,1500,수렵 및 관련 서비스업
23,,,2,임업,20,임업,201,영림업,2011,임업용 종묘 생산업
24,,,,,,,,,2012,육림업
25,,,,,,,202,벌목업,2020,벌목업
26,,,,,,,203,임산물 채취업,2030,임산물 채취업
27,,,,,,,204,임업 관련 서비스업,2040,임업 관련 서비스업
28,,,3,어업,31,어로 어업,311,해면 어업,3111,원양 어업
29,,,,,,,,,3112,연근해 어업
30,,,,,,,312,내수면 어업,3120,내수면 어업
31,,,,,32,양식어업 및 어업관련 서비스업,321,양식 어업,3211,해면 양식 어업
32,,,,,,,,,3212,내수면 양식 어업
33,,,,,,,,,3213,수산물 부화 및 종묘 생산업
34,,,,,,,322,어업 관련 서비스업,3220,어업 관련 서비스업
35,B,광업 (05 ~ 08),5,"석탄, 원유 및 천연가스 광업",51,석탄 광업,510,석탄 광업,5100,석탄 광업
36,,,,,52,원유 및 천연가스 채굴업,520,원유 및 천연가스 채굴업,5200,원유 및 천연가스 채굴업
37,,,6,금속 광업,61,철 광업,610,철 광업,6100,철 광업
38,,,,,62,비철금속 광업,621,우라늄 및 토륨 광업,6210,우라늄 및 토륨 광업
39,,,,,,,629,기타 비철금속 광업,6291,금·은 및 백금 광업
