core0510,(주)코아팜바이오
cottcloud17,(주)코튼클라우드
flatgd0819,(주)플랫가든
wangdo2016,왕도테크
000gan,(주)공공공간
00119a,신정보개발(주)
00341aba,(주)엠엠에스컴퍼니
007abc,(주)정진기전
007jns,(주)다성피앤에프
007madang,한국이티에스(주)
007sign,(주)동화에프엔이
007world,(주)공공칠월드
0111daeil,(주)대일산업
0119ddd,(주)디딤돌
0126043,(주)인큐시스 
016kjs,(주)베스티
0198park,(주)비앤비컴퍼니
02021kyc2,(주)블루브릿지글로벌
0311dhlee,(주)바이오리올로직스
032hana,(주)하나레미콘
032pro,032디자인(주)
0433669,(주)에이치프라임네트웍스
0616flex,(주)덴플렉스
0704micha,(주)보광이엔지
07077911100,(주)한국전자투표
0707ant,태경 티에스(TS)
07775a,(주)디에스아이씨
07come,리바랩(RebarLab)
0807best,베스트에프에이(주)
0818smh,(주)에스알팜
0human222,(주)에이치에스에이디씨
0laonstory,(주)라온스토리
1000brc,(주)비알씨테크
1000nuri,(주)천년누리푸드
1001daekwang,(주)대광산업
100268,한국공조기술개발(주)
1004beauty,(주)뷰티채널
1004edu,천사에듀(주)
1004yo,준우머티리얼즈(JOONWOO MATERIALS)
1009inotech,청구이노베이션(주)
100fac,센툼팩토리얼(주)
100home,100 홈(100 HOME)
100min,(주)백의민족
100yak,합천생약가공(영농조합법인)
100ysm,테그(주)
1018152722,알엔케이블(주)
10186aba,(주)메가시스템
101875813a,(주)37포인트
101ent,(주)101엔터테인먼트
1025hyj,노트하우(주)
1030kgs,(주)케이지에스
1038601578,(주)주식회사 스마일코리아
1048660134,(주)알앤디웨어
1058694850,도우덱인터내셔날(주)
1058739553,(주)코아맥스테크놀로지
1068639597a,(주)디자인루나
1068706846,(주)아이티원코리아
1068708219,(주)로봇에프앤비
1069012h,(주)씨피티
1078675714,(주)재키에프앤씨
1078749469,(주)에이엠네트웍스
1078791986,(주)다나와컴퓨터
1098637773,(주)우신이앤씨
10luck10,제이엠그린
1108616730,(주)알씨디
1122975654,대한계전
1132029956,(주)쓰리디에이펙스
1138154927,삼신진공(주)
1138605213,(주)대승아이앤피
1138640923,케이티아이엔씨(주)
114century,(주)세기센추리
114hinge,(주)힌지코리아
1178179707,(주)케이원텍
1178189826,(주)비티에스하네스
1188115818,(주)아신기계
1198194247,(주)셀리드
1198667920,(주)고려테크
1198708404,(주)푸시뉴스
119reo,119레오(주)
11zero18,(주)일일공일팔
1203000257,태광방음문
1206jyw,(주)제티아
1208735065,엔시큐어(주)
1208771310,(주)제이비컴
1208818670,(주)한영씨앤텍
1208826734,(주)아이린에프앤씨
1211040502,주신툴 
1212jis,열두방재(주)
1225xm,(주)한길산업
1228623059,(주)채움에이치알디
123000gms,(주)지엠에스
1233661013,(주)동광특수고무
1238191481,(주)재우
1238635301,동양엠더블유(주)
1238640333,(주)루미클
1238644284,(주)아르비젼
123mobi,모비스타
12442aba,(주)시그마시스템
1248651153,(주)기승산업
12486aba,화성이엔씨(주)
1248728493,(주)에스와이시스템
1248739200,(주)구름
12487aba,(주)진영기계
1249468998,태왕푸드
1250191355,대양테크
1256yc,(주)와이이씨
1258117473,(주)세원
1258142837,보타리에너지(주)
1258627132,(주)케이크린
1261221810,호원산업
1268629749,(주)밴텍디엔씨
1268662715,(주)비엠비세라믹(BMB)
1268665594,세븐엘팩(주)
1268671631,(주)피지마켓
1268675409,큐알티(주)
1288709673,(주)마이베네핏
1288710772,(주)대길퍼시픽
1288718997,(주)엘티엘
1298181467,노딕기술(주)
1298654719,(주)에스에프코퍼레이션
1298676479,(주)푸른
1298677629,(주)아리엘네트웍스
1298692561,(주)세진이씨에스
1308693712,(주)세현아이티에스
1310267691,유성기계제작소
13111,(주)이너센서
131111,(주)커스메디
1312948385,에스제이켐
131411,(주)에스이티
13141aba,(주)명신기연
13181911,(주)에어스타
1318633473,(주)해동이노베이션
1318668050,나이프플러스(주)
1328607435,(주)우진프라스틱
1328619421,(주)나우솔리드
134111,(주)그라디안
1348173770,(주)우성초음파
1348181265,대성하이원(주)
13486abaa,이엔래비스(주)
1348700599,(주)무선테크윈
1348707326,(주)엘티엘
1348708169,(주)피에스산업
1348715258,(주)제이제이진공열처리
1348720090a,(주)원텍스
1348734371,(주)유앤제이
1348737742,(주)경원켐텍
1351897878,에스텍
1353033653,허브스토리메디신
1353269908,대한정밀
13581426,(주)드림맥
1358145729,(주)대한미래산업
1358162280,세진종합기술(주)
1373alt,(주)에이엘티
1378629040,(주)주원기업
1378639631,(주)엔에스티바이오
1378640332,(주)엠에스아이
1378642247,(주)에이엔에스
1378643528,(주)이츠
1388141829,티씨에스(주)
1388143598,(주)유씨웨어
1388160210,(주)씨디에이
1388161878,(주)지앤아이테크
13910aba,대성기계
1398136993,대웅기업(주)
1398700482,중부종합기계(주)
13mile,(주)13마일
140111,(주)오투오
141111,동림푸드(주)
1415war,(주)코니테크놀로지
1418134547,(주)양지디엔피
1418137530,(주)류재은베이커리
1428167376,(주)에이티에스
1428168467,(주)뺑오르방씨엘
1438111915,(주)엠텍글로벌
1448125289a,(주)에이샛
1448126032,(주)에이디랩
14cookie,(주)과자의성
150111,스마트전자(주)
153logis,(주)153로지스틱스
153media,(주)일오삼미디어
154511,(주)그린코어
160111,(주)한국방재기술시험원
1628600942,(주)지메딕스코리아
16887808,제이엘(JL)
16887950,(주)테라그린
1692400310,블루코리아(BLUE Korea)
1698600448,로드이앤씨(주)
1708kas,(주)케이에이시스템
170sea,휴먼바이오(주)
171111,(주)대흥환경산업
1728801132,(주)이앤이
1735r86,예비창업자 김준형
1740kses,제제
1750700206,금화테크
17jeongjin,정진 농업회사법인(주)
180111,(주)밴텍
180301ok,(농업회사법인주식회사)오케이120
1808800060,예송테크(주)
1834up,(주)태경엔텍
1848601112,(주)브이핀테크
1898100637,(주)명신기업
1997300089,아노알루텍
1998seojin,서진산업(주)
1999hdk,(주)대한오토텍
1dropinc,(주)원드롭
1kwagsang,나비나무
1mstudio,(주)원밀리언
1nexuselec,(주)넥서스일렉트로닉스
1plant,(주)원플랜트
1prime,프라임씰(주)
1stbio,(주)퍼스트바이오테라퓨틱스
1stnoon,(주)첫눈
1techinc,(주)원테크시스템
1thefull,(주)원더풀플랫폼
1xiilab,"(주)씨이랩 (XIIlab Co., LTD.)"
2000ict,(주)이천정보통신기술
2000vv,디투이모션(주)
200111,신기술융합(주)
2001in,(주)씨에프에스
2001kdm,(주)케디엠
2001ohsu,블랙스프
2002dmc,(주)대만
2003yjsy,영중산업(주)
2004CORP,(주)이천사물산
2005jinwoo,진우정공
